GEOID,NAME,B01003_001E,B19013_001E,B19113_001E,B17001_001E,B17001_002E,B03002_001E,B03002_003E,B03002_004E,B03002_006E,B03002_012E,state,county,tract
10003011400,Census Tract 114; New Castle County; Delaware,3549,160119,181019,3481,46,3549,3289,89,98,0,10,003,011400
10003011500,Census Tract 115; New Castle County; Delaware,3073,111897,139568,3059,43,3073,2537,125,121,241,10,003,011500
10003011600,Census Tract 116; New Castle County; Delaware,3463,130724,147000,3391,95,3463,3017,247,59,68,10,003,011600
10003011700,Census Tract 117; New Castle County; Delaware,4234,238750,250001,4231,65,4234,3348,120,326,332,10,003,011700
10003011800,Census Tract 118; New Castle County; Delaware,4350,137662,218958,4306,233,4350,3407,72,669,132,10,003,011800
10003011900,Census Tract 119; New Castle County; Delaware,3150,175625,241250,3150,420,3150,2271,80,140,357,10,003,011900
10003012000,Census Tract 120; New Castle County; Delaware,3958,71429,82500,3953,275,3958,2515,617,26,685,10,003,012000
10003012100,Census Tract 121; New Castle County; Delaware,3010,77157,117401,2941,128,3010,2372,393,9,209,10,003,012100
10003012200,Census Tract 122; New Castle County; Delaware,4576,59989,86836,4558,272,4576,2427,863,50,758,10,003,012200
10003012300,Census Tract 123; New Castle County; Delaware,3133,65924,84400,3133,643,3133,1502,513,33,1000,10,003,012300
10003012400,Census Tract 124; New Castle County; Delaware,4493,75434,93565,4485,900,4493,2076,592,35,1737,10,003,012400
10003012500,Census Tract 125; New Castle County; Delaware,4979,74188,97294,4979,458,4979,2647,797,34,1083,10,003,012500
10003012600,Census Tract 126; New Castle County; Delaware,2902,97917,109464,2901,67,2902,2118,69,46,519,10,003,012600
10003012700,Census Tract 127; New Castle County; Delaware,4320,57470,90850,4320,535,4320,2872,530,45,770,10,003,012700
10003012900,Census Tract 129; New Castle County; Delaware,4560,61211,75972,4530,927,4560,1945,1395,15,1065,10,003,012900
10003013000,Census Tract 130; New Castle County; Delaware,1902,91705,94082,1902,55,1902,1379,26,102,240,10,003,013000
10003013100,Census Tract 131; New Castle County; Delaware,2292,89712,91414,2286,58,2292,1414,258,68,476,10,003,013100
10003013200,Census Tract 132; New Castle County; Delaware,2751,62692,85938,2733,280,2751,1465,422,47,732,10,003,013200
10003013300,Census Tract 133; New Castle County; Delaware,1918,81631,90450,1918,5,1918,1361,13,0,451,10,003,013300
10003013400,Census Tract 134; New Castle County; Delaware,2329,106131,126864,2315,174,2329,1938,90,105,150,10,003,013400
10003013501,Census Tract 135.01; New Castle County; Delaware,6957,148786,166372,6543,109,6957,5805,151,612,241,10,003,013501
10003013505,Census Tract 135.05; New Castle County; Delaware,3738,168661,200096,3738,173,3738,2804,110,545,51,10,003,013505
10003013506,Census Tract 135.06; New Castle County; Delaware,4440,163125,177615,4440,26,4440,3654,188,405,51,10,003,013506
10003013507,Census Tract 135.07; New Castle County; Delaware,1635,130579,136563,1635,62,1635,1318,39,149,45,10,003,013507
10003013508,Census Tract 135.08; New Castle County; Delaware,6400,193036,223636,6400,26,6400,5135,70,410,325,10,003,013508
10003013604,Census Tract 136.04; New Castle County; Delaware,4156,124583,139438,4115,106,4156,3168,177,316,438,10,003,013604
